feature,correlation
TOLDPD,0.47723871283179997
LSSXPRSS,0.4585037364820743
wdml_std,0.4539089075933057
VOICSFTR,0.44040580201783286
TRBUPCHR,0.36795284181633553
velocityofrotationdegsec,0.36401858397389125
wdml,0.34474167849024584
sampentropyv_std,0.3394486897726788
TRBBUTTN,0.3247911594492151
sedentarytime,0.3217459480013528
rmsv_std,0.3153276462390264
ARMLGSHK,0.2951311929031364
SHUFFLE,0.29122839945189744
standingtime,0.28587277900275365
stepasymap_std,0.27658204205116543
stpregv_std,0.2640194621504237
cvsteplength,0.25337499046556294
cvstridetime_std,0.2445971123145244
ampap_std,0.24433344734454412
timeofrotationsec,0.24110801396126802
WRTSMLR,0.23180477201263514
MVSLOW,0.231743011766839
percentactivenight,0.22356971713609433
numberofnappingbouts,0.22068301551139788
cvstridetime,0.21791574871228883
percentstanding,0.21320466819572464
sampentropyap_std,0.21262947027970414
cvsteptime,0.2082951659034996
rmsv,0.20654161674180574
cvsteptime_std,0.20398012372196805
rmsap,0.20311427925559175
strregml_std,0.1986422010325604
stpregap_std,0.19424974247464796
nonweardetected,0.19247042791642935
waketimenightminutes,0.1922933965088464
ampv_std,0.19030638842962144
percentwakenight,0.1895452479903707
FTSTUCK,0.1889962908858105
sampentropyml_std,0.18735424535408346
strregv_std,0.1871329905617085
wdap_std,0.18685722778448088
stepvelocitycmsec,0.18502156411970583
POORBAL,0.18440524289977625
wdv_std,0.1820125492495357
x_5_10sec,0.17350062561355362
validdays6hr,0.17313740651935214
ampml_std,0.1720130533173162
percentother,0.1633182225919952
x_10_20sec,0.15813215961104674
validdays12hr,0.15402974470286734
ampap,0.15089995811457593
wdap,0.14895370088943355
rmsml_std,0.14851299858071562
stepasymv,0.14655456994341964
steptime_std,0.14635423084043822
stridetime_std,0.14612302084886383
stepasymv_std,0.14132652024269965
meansvmdaymg,0.13581769391979107
walktimenightminutes,0.13462803752285557
rmsap_std,0.134583207649567
stpregap,0.13119057894359176
stpregml_std,0.1286232551296267
numwalkboutsnight,0.1283098735462435
sampentropyml,0.12763470140130728
cadencetimedomain,0.12708135326737224
GAITASTDUAL,0.12185274684556129
nighttimehr,0.12085583105180205
numberofbouts,0.11500700710506681
sumsvmdaymg,0.11462972431317985
numberofdays,0.1139131923530961
percentwalknight,0.10822579389116589
stepvelocitycmsec_std,0.10336987762853977
strregap_std,0.1017920331797785
stpregml,0.10026136710809525
stepcount,0.09957579686160452
walkingtime,0.08855635576393883
strregml,0.08734642589324994
stepasymml,0.08581882346482268
upsidedowndetected,0.08527881418018282
rmsml,0.08183457611732768
cvsteplength_std,0.078976580428404
ampv,0.07663726378241723
x_30_60sec,0.06732352260365107
sumsvmnightmg,0.06685021961648689
wdv,0.06285011912288813
stridetime,0.06071334681026526
steptime,0.05973948193159096
sittingtime,0.0593794826495448
othertime,0.059029597160333236
x_20_30sec,0.05661739988918245
ampml,0.05571693966269656
percentlying,0.053570380818704355
percentsedentary,0.0496577502410252
activitylevel,0.04753298688084262
percentsitting,0.04207321040712073
sampentropyv,0.041115590627427236
numberofrotations,0.04015910937885051
stpregv,0.03928690518779546
sampentropyap,0.03622800809393544
percentwalking,0.03512050287780995
actualnighttimehr,0.0331474991579364
x__120sec,0.03279264430416918
degreesofrotationdeg,0.03038521527826608
meansvmnightmg,0.02834829637930902
meannapboutmin,0.027746937900321077
strregv,0.02721352786346727
totalnaptimemin,0.020793273346052576
PATNO_x,0.01640924534957333
PATNO_y,0.01640924534957333
stepasymml_std,0.013056491029122543
x_60_120sec,0.009179786991297179
lyingtime,0.008188892753308825
percentnight,0.008065650245573461
strregap,0.006498298659538546
percentactiveday,0.0064189003653766325
stepasymap,0.0011631599559443425
PDMEDYN,
AXIVITYUP,
GAITASTCMPLT,
