feature,importance
TOLDPD,0.23497176676013476
VOICSFTR,0.09524902670388007
LSSXPRSS,0.052397431171681705
SP_U,0.04050242667682012
TUG1_STEP_SYM,0.03204032460826514
GAITASTDUAL,0.029122824494452713
RA_STD_DT,0.02542305163891241
TUG2_TURNS_DUR,0.02494873118620998
CAD_U,0.023369836951254386
L_JERK_U,0.022874921395680377
MVSLOW,0.020773285733826575
STEP_SYM_U,0.019489994211915256
RA_AMP_DT,0.018835308757697688
STR_CV_DT,0.01746841538537734
JERK_T_U,0.016128228454291522
TUG2_STRAIGHT_DUR,0.015738573660301472
T_AMP_DT,0.01546220006376998
CAD_DT,0.013634284755895449
L_JERK_DT,0.01352577757193105
SP_DT,0.013442071295238738
TRA_U,0.013289834919708629
ASYM_IND_DT,0.01042281653461393
STEP_REG_U,0.010268778099075322
TUG1_DUR,0.010136784158950586
ARMLGSHK,0.009959267965714455
TUG2_DUR,0.00963926640112501
TUG1_STEP_NUM,0.009540794650528248
SYM_DT,0.009313789309584208
STR_CV_U,0.008978992173736053
LA_AMP_DT,0.008972668548777174
ASA_U,0.008956145246674447
LA_STD_DT,0.008403640067806625
SHUFFLE,0.007850714984694706
T_AMP_U,0.007388451106135763
TUG1_STEP_REG,0.00734033288896208
TRBUPCHR,0.007328417481319181
TUG1_TURNS_DUR,0.007232709576540086
STEP_SYM_DT,0.00694929126910123
TUG2_STEP_SYM,0.006460052692628367
LA_AMP_U,0.006293441599163918
STR_T_U,0.006030529539321377
SYM_U,0.005594269904330085
WRTSMLR,0.005309287524905461
STR_T_DT,0.004997860122038286
RA_AMP_U,0.004747980601226499
JERK_T_DT,0.004516911437968846
TUG2_STEP_NUM,0.004502704724658284
STEP_REG_DT,0.004242576296697915
R_JERK_DT,0.004231762347574418
ASA_DT,0.004097491571424198
LA_STD_U,0.003993033611095457
TUG2_STEP_REG,0.003983870068510918
ASYM_IND_U,0.0038509598243333647
Arm_Amplitude_Diff,0.003817258507581084
TRA_DT,0.0036211128725944287
TUG1_STRAIGHT_DUR,0.0034333206957324475
R_JERK_U,0.00336899355214757
RA_STD_U,0.002413687275382033
TRBBUTTN,0.0014023976383287717
POORBAL,0.0010166287683305501
FTSTUCK,0.0007026919634413629
GAIT_SUBGROUP,0.0
SW_FREQ_OP,0.0
SW_PATH_OP,0.0
SW_VEL_OP,0.0
SW_JERK_OP,0.0
SW_FREQ_CL,0.0
SW_PATH_CL,0.0
SW_VEL_CL,0.0
SW_JERK_CL,0.0
PDMEDYN,0.0
AXIVITYUP,0.0
GAITASTCMPLT,0.0
